Date,Open,High,Low,Close,Adj Close,Volume
2015-11-01,42.320000,43.599998,41.340000,42.619999,33.804916,252129100
2015-12-01,42.730000,43.910000,41.970001,42.959999,34.335915,286672000
2016-01-01,42.340000,43.259998,40.750000,42.919998,34.303932,317920800
2016-02-01,42.599998,44.180000,41.900002,43.130001,34.471794,304133400
2016-03-01,43.380001,46.880001,43.169998,46.389999,37.077358,347238100
2016-04-01,46.139999,47.130001,42.869999,44.799999,36.085785,317337800
2016-05-01,44.570000,45.900002,43.939999,44.599998,35.924686,230295800
2016-06-01,44.599998,46.009998,43.320000,45.330002,36.512695,265492600
2016-07-01,45.330002,45.939999,43.099998,43.630001,35.412865,235959400
2016-08-01,43.689999,44.330002,43.080002,43.430000,35.250538,235118300
2016-09-01,43.209999,43.830002,41.849998,42.320000,34.349586,251007200
2016-10-01,42.310001,43.029999,41.400002,42.400002,34.695690,264839100
2016-11-01,42.400002,42.980000,40.349998,40.349998,33.018188,316557000
2016-12-01,40.310001,42.220001,39.880001,41.459999,34.213306,283871000
2017-01-01,41.500000,42.250000,40.689999,41.570000,34.304073,240343500
2017-02-01,41.520000,42.150002,40.220001,41.959999,34.625919,333983800
2017-03-01,42.009998,42.700001,41.740002,42.439999,35.022011,339185400
2017-04-01,42.580002,43.790001,42.270000,43.150002,35.922207,232465400
2017-05-01,43.150002,45.700001,43.099998,45.470001,37.853607,250453800
2017-06-01,45.450001,46.060001,44.650002,44.849998,37.337456,241609300
2017-07-01,45.110001,46.430000,44.150002,45.840000,38.475674,195369200
2017-08-01,45.970001,46.340000,45.250000,45.549999,38.232269,208673800
2017-09-01,45.639999,46.980000,44.380001,45.009998,37.779011,197449400
2017-10-01,45.049999,46.790001,44.750000,45.980000,38.900265,192361800
2017-11-01,45.750000,47.480000,45.029999,45.770000,38.722607,217681900
2017-12-01,45.799999,46.480000,44.919998,45.880001,39.133892,207945400
2018-01-01,45.910000,48.619999,45.340000,47.590000,40.592464,256417300
2018-02-01,47.410000,47.730000,42.189999,43.220001,36.865021,292809500
2018-03-01,43.099998,45.090000,42.250000,43.430000,37.044132,278776900
2018-04-01,43.439999,45.029999,41.910000,43.209999,37.181843,256838800
2018-05-01,42.959999,43.279999,41.450001,43.000000,37.001137,252954800
2018-06-01,43.099998,44.520000,42.959999,43.860001,37.741150,259306900
2018-07-01,43.779999,46.669998,43.580002,46.630001,40.482079,207676200
2018-08-01,46.450001,46.869999,44.389999,44.570000,38.693684,231152100
2018-09-01,44.599998,46.689999,44.509998,46.189999,40.100086,193542300
2018-10-01,46.169998,48.080002,44.250000,47.880001,41.920837,326355300
2018-11-01,47.810001,50.840000,47.299999,50.400002,44.127193,279957400
2018-12-01,49.869999,50.509998,45.660000,47.349998,41.784618,308108600
2019-01-01,46.939999,48.779999,46.340000,48.130001,42.472950,290752700
2019-02-01,48.480000,49.939999,44.419998,45.340000,40.010872,388570200
2019-03-01,45.470001,46.919998,44.610001,46.860001,41.352219,363961200
2019-04-01,46.990002,49.180000,46.040001,49.060001,43.671574,238015200
2019-05-01,48.950001,49.900002,47.070000,49.130001,43.733891,258269900
2019-06-01,49.160000,52.200001,49.020000,50.919998,45.327286,248586800
2019-07-01,51.070000,54.820000,50.779999,52.630001,47.215202,257685900
2019-08-01,52.779999,55.340000,51.400002,55.040001,49.377247,271904100
2019-09-01,54.980000,55.919998,53.630001,54.439999,48.838982,216515600
2019-10-01,54.529999,55.389999,52.820000,54.430000,49.187023,245853900
2019-11-01,54.630001,54.740002,51.580002,53.400002,48.256237,226002600
2019-12-01,53.320000,55.450001,52.849998,55.349998,50.392021,230590700
2020-01-01,55.320000,59.080002,54.090000,58.400002,53.168819,286856700
2020-02-01,58.750000,60.130001,51.580002,53.490002,48.698627,245599100
2020-03-01,53.930000,59.000000,36.270000,44.250000,40.286308,693439800
2020-04-01,42.480000,49.730000,41.799999,45.889999,42.145813,395209600
2020-05-01,45.619999,47.459999,43.200001,46.680000,42.871357,382765600
2020-06-01,46.660000,49.970001,43.509998,44.680000,41.034531,399229500
2020-07-01,44.930000,49.279999,43.830002,47.240002,43.779819,369294100
2020-08-01,47.139999,50.070000,46.220001,49.529999,45.902084,252126200
2020-09-01,49.310001,52.139999,47.560001,49.369999,45.753807,341638700
2020-10-01,49.439999,51.529999,47.299999,48.060001,44.900295,292193800
2020-11-01,48.750000,54.619999,48.240002,51.599998,48.207550,339327300
2020-12-01,52.139999,54.930000,51.639999,54.840000,51.636265,303487100
2021-01-01,54.270000,54.630001,48.110001,48.150002,45.337093,457208200
2021-02-01,48.270000,51.509998,48.180000,48.990002,46.128021,301062400
2021-03-01,49.439999,53.939999,49.400002,52.709999,49.630703,452188000
2021-04-01,52.959999,54.869999,52.290001,53.980000,51.249554,270807700
2021-05-01,54.270000,55.709999,53.610001,55.290001,52.493294,309903200
2021-06-01,55.340000,56.480000,53.720001,54.110001,51.372982,305857700
2021-07-01,54.340000,57.560001,53.549999,57.029999,54.553261,293385300
2021-08-01,57.200001,57.560001,55.450001,56.310001,53.864536,220335000
2021-09-01,56.380001,57.029999,52.430000,52.470001,50.191303,334494700
2021-10-01,52.779999,56.470001,52.400002,56.369999,54.328884,331812000
2021-11-01,56.389999,57.160000,52.439999,52.450001,50.550827,286683400
2021-12-01,52.980000,59.349998,52.279999,59.209999,57.508591,426786000
2022-01-01,58.820000,61.450001,58.380001,61.009998,59.256863,407891700
2022-02-01,60.910000,62.900002,59.220001,62.240002,60.451523,396000700
2022-03-01,62.139999,63.020000,57.500000,62.000000,60.218422,426922600
2022-04-01,62.330002,67.199997,61.720001,64.610001,63.233784,319591200
2022-05-01,65.279999,66.379997,59.660000,63.380001,62.029984,459881800
2022-06-01,63.419998,63.770000,58.250000,62.910000,61.569996,353151200
2022-07-01,63.119999,64.449997,60.790001,64.169998,63.256905,275802300
2022-08-01,64.089996,65.470001,61.700001,61.709999,60.831909,223178000
2022-09-01,61.580002,62.880001,55.910000,56.020000,55.222874,317560600
2022-10-01,56.360001,60.910000,54.020000,59.849998,59.428520,325950900
2022-11-01,60.029999,63.680000,58.099998,63.610001,63.162045,269982400
2022-12-01,63.610001,64.699997,62.330002,63.610001,63.610001,245984500
2023-01-01,63.560001,63.720001,59.400002,61.320000,61.320000,260737100
2023-02-01,61.139999,61.580002,58.880001,59.509998,59.509998,265889400
2023-03-01,59.130001,60.570000,58.369999,60.009998,60.009998,68375900
